Rank,Club,Country,Level,Elo,From,To
92,Union Berlin,GER,1,1619.43078613,2026-07-05,2026-08-29
93,Genoa,ITA,1,1618.22705078,2026-07-05,2026-08-22
94,Werder,GER,1,1606.01940918,2026-07-05,2026-08-30
95,PAOK,GRE,1,1605.5760498,2026-07-24,2026-07-30
96,Millwall,ENG,2,1604.41833496,2026-07-05,2026-08-15
97,Feyenoord,NED,1,1602.56091309,2026-07-05,2026-08-09
98,Hamburg,GER,1,1602.14746094,2026-07-05,2026-08-29
99,Parma,ITA,1,1599.93139648,2026-07-05,2026-08-22
100,Venezia,ITA,2,1598.84887695,2026-07-05,2026-08-23
None,Cagliari,ITA,1,1594.30480957,2026-05-25,2026-08-22
None,Middlesbrough,ENG,2,1588.94519043,2026-05-31,2026-08-15
None,Crvena Zvezda,SRB,1,1586.15527344,2026-07-22,2026-07-26
None,Las Palmas,ESP,2,1585.08972168,2026-06-11,2026-08-30
None,Aarhus,DEN,1,1582.55212402,2026-07-26,2026-07-29
None,Nice,FRA,1,1582.37219238,2026-05-31,2026-08-22
None,Santander,ESP,2,1581.93225098,2026-06-01,2026-08-16
None,Genk,BEL,1,1581.32556152,2026-06-01,2026-08-09
None,Le Havre,FRA,1,1580.06860352,2026-05-31,2026-08-23
None,FC Kobenhavn,DEN,1,1578.41003418,2026-07-24,2026-07-26
None,Ajax,NED,1,1578.02783203,2026-07-24,2026-07-30
None,Dinamo Zagreb,CRO,1,1577.11853027,2026-07-22,2026-07-28
None,Celtic,SCO,1,1575.15283203,2026-05-17,2026-08-30
None,Malaga,ESP,2,1568.62792969,2026-06-21,2026-08-19
None,Koeln,GER,1,1568.16870117,2026-05-21,2026-08-29
None,Lecce,ITA,1,1568.02050781,2026-05-25,2026-08-23
None,Twente,NED,1,1567.7479248,2026-07-24,2026-07-30
None,Frosinone,ITA,2,1564.72619629,2026-05-09,2026-08-23
None,Paphos,CYP,0,1561.03271484,2026-07-24,2026-07-30
None,Norwich,ENG,2,1560.36108398,2026-05-31,2026-08-15
None,Oviedo,ESP,1,1557.96923828,2026-05-28,2026-08-30
None,Viktoria Plzen,CZE,1,1556.39892578,2026-07-26,2026-08-30
None,Almeria,ESP,2,1556.26367188,2026-06-21,2026-08-30
None,Lok Moskva,RUS,1,1555.28356934,2026-03-16,2026-08-30
None,CSKA Moskva,RUS,1,1554.62353516,2026-03-15,2026-08-30
None,St Truiden,BEL,1,1554.60754395,2026-05-25,2026-08-08
None,Karabakh Agdam,AZE,0,1554.37609863,2026-07-24,2026-07-30
None,Heidenheim,GER,2,1552.56982422,2026-07-04,2026-08-08
None,Spartak Moskva,RUS,1,1550.99316406,2026-03-15,2026-08-30
None,Eibar,ESP,2,1549.77258301,2026-06-01,2026-08-30
None,Sparta Praha,CZE,1,1547.8470459,2026-07-26,2026-08-30
None,Angers,FRA,1,1547.54577637,2026-05-31,2026-08-23
None,Panathinaikos,GRE,1,1546.6385498,2026-07-24,2026-07-30
None,Sheffield United,ENG,2,1546.58056641,2026-05-31,2026-08-15
None,Castellon,ESP,2,1546.32897949,2026-06-10,2026-08-30
None,Depor,ESP,2,1546.3137207,2026-06-01,2026-08-17
None,Nantes,FRA,1,1544.42956543,2026-05-31,2026-08-30
None,Monza,ITA,2,1543.99084473,2026-05-30,2026-08-22
None,Reims,FRA,2,1541.97399902,2026-05-31,2026-08-30
None,Burgos,ESP,2,1541.79602051,2026-06-01,2026-08-30
None,Nordsjaelland,DEN,1,1541.78027344,2026-07-24,2026-07-26
None,Derby,ENG,2,1539.21337891,2026-05-31,2026-08-15
None,Alkmaar,NED,1,1539.21313477,2026-05-18,2026-08-08
None,Dynamo Moskva,RUS,1,1538.52539062,2026-03-15,2026-08-30
None,Swansea,ENG,2,1536.28552246,2026-05-31,2026-08-15
None,St Pauli,GER,2,1532.94165039,2026-07-04,2026-08-09
None,Hull,ENG,1,1532.88049316,2026-07-04,2026-08-22
None,Nijmegen,NED,1,1531.59887695,2026-05-18,2026-08-08
None,Cremonese,ITA,1,1531.55664062,2026-05-25,2026-08-30
None,Brondby,DEN,1,1529.92553711,2026-07-26,2026-08-02
None,Brann,NOR,1,1528.16918945,2026-07-24,2026-07-26
None,Hannover,GER,2,1527.87023926,2026-05-21,2026-08-09
None,Wrexham,ENG,2,1527.45922852,2026-05-31,2026-08-17
None,Trabzonspor,TUR,1,1526.23779297,2026-05-18,2026-08-30
None,Paderborn,GER,1,1525.36755371,2026-07-04,2026-08-29
None,Anderlecht,BEL,0,1523.74462891,2026-07-24,2026-07-30
None,Elversberg,GER,1,1523.39831543,2026-07-04,2026-08-29
None,Troyes,FRA,2,1521.14294434,2026-05-31,2026-08-22
None,Lech,POL,1,1520.91870117,2026-07-26,2026-07-29
None,Bueyueksehir,TUR,1,1520.46118164,2026-07-23,2026-07-30
None,Utrecht,NED,1,1520.30175781,2026-05-25,2026-08-09
None,Ferencvaros,HUN,1,1520.0501709,2026-07-24,2026-07-26
None,Schalke,GER,1,1519.74243164,2026-07-04,2026-08-30
None,Rangers,SCO,1,1517.05700684,2026-05-17,2026-08-30
None,Besiktas,TUR,1,1516.3416748,2026-07-24,2026-07-30
None,Mjaellby,SWE,1,1515.64575195,2026-07-26,2026-07-28
None,Palermo,ITA,2,1514.03564453,2026-05-21,2026-08-30
None,Rakow,POL,1,1513.49890137,2026-07-24,2026-07-26
None,Viborg,DEN,1,1512.19714355,2026-07-25,2026-08-02
None,Saint-Etienne,FRA,2,1507.84020996,2026-05-31,2026-08-30
None,Bristol City,ENG,2,1507.68261719,2026-05-31,2026-08-15
None,Hammarby,SWE,1,1507.66381836,2026-07-24,2026-07-26
None,Birmingham,ENG,2,1507.06591797,2026-05-31,2026-08-15
None,Charleroi,BEL,1,1504.9967041,2026-05-24,2026-08-09
None,West Brom,ENG,2,1504.70568848,2026-05-31,2026-08-15
None,Verona,ITA,1,1502.55664062,2026-05-25,2026-08-30
None,Standard,BEL,1,1502.06079102,2026-05-24,2026-08-08
None,Gijon,ESP,2,1499.98913574,2026-05-31,2026-08-30
None,Portsmouth,ENG,2,1499.31555176,2026-05-31,2026-08-15
None,Gent,BEL,1,1497.22460938,2026-07-24,2026-07-30
None,Tromso,NOR,1,1496.79077148,2026-07-24,2026-07-30
None,Albacete,ESP,2,1496.30969238,2026-05-31,2026-08-30
None,Rodez,FRA,2,1494.4453125,2026-05-31,2026-08-30
None,Larnaca,CYP,0,1494.35534668,2026-07-24,2026-07-30
None,Andorra CF,ESP,2,1493.9777832,2026-06-01,2026-08-30
None,Blackburn,ENG,2,1493.27905273,2026-05-31,2026-08-14
None,Le Mans,FRA,2,1492.42102051,2026-05-31,2026-08-22
None,Metz,FRA,1,1489.80969238,2026-05-31,2026-08-30
None,Bochum,GER,2,1486.64123535,2026-05-21,2026-08-07
None,Baltika,RUS,1,1484.52722168,2026-03-15,2026-08-30
None,Salzburg,AUT,1,1482.40698242,2026-05-18,2026-08-01
None,Leganes,ESP,2,1481.5793457,2026-06-01,2026-08-30
None,QPR,ENG,2,1480.51000977,2026-05-31,2026-08-15
None,Antwerp,BEL,1,1480.3248291,2026-05-24,2026-08-09
None,Preston,ENG,2,1478.86474609,2026-05-31,2026-08-15
None,Mechelen,BEL,1,1478.85229492,2026-05-25,2026-08-09
None,Montpellier,FRA,2,1477.11657715,2026-05-31,2026-08-30
None,Westerlo,BEL,1,1475.3503418,2026-05-24,2026-08-08
None,Cordoba,ESP,2,1474.9732666,2026-06-01,2026-08-30
None,Apollon Lemesos,CYP,0,1474.15783691,2026-07-24,2026-07-28
None,Hearts,SCO,1,1473.26843262,2026-07-22,2026-07-28
None,Djurgarden,SWE,1,1472.00256348,2026-07-26,2026-08-30
None,Sturm Graz,AUT,1,1471.63842773,2026-07-22,2026-07-28
None,StGallen,SUI,1,1469.69934082,2026-07-24,2026-07-26
None,Bolton,ENG,2,1468.63500977,2026-07-03,2026-08-15
None,Cardiff,ENG,2,1468.63500977,2026-07-03,2026-08-17
None,Heerenveen,NED,1,1468.30773926,2026-05-22,2026-08-09
None,Molde,NOR,1,1467.12402344,2026-07-19,2026-07-26
None,Jagiellonia,POL,1,1466.60534668,2026-07-26,2026-08-30
None,Beer-Sheva,ISR,1,1466.13781738,2026-07-22,2026-07-29
None,Annecy,FRA,2,1465.85766602,2026-05-31,2026-08-30
None,SonderjyskE,DEN,1,1465.48205566,2026-05-18,2026-07-26
None,Darmstadt,GER,2,1463.35742188,2026-05-21,2026-08-08
None,Thun,SUI,1,1463.22143555,2026-07-26,2026-07-28
None,Holstein,GER,2,1462.63525391,2026-05-21,2026-08-08
None,Samsunspor,TUR,1,1461.5769043,2026-05-17,2026-08-30
None,Hertha,GER,2,1461.53930664,2026-05-21,2026-08-07
None,Granada,ESP,2,1461.25671387,2026-05-31,2026-08-30
None,Nuernberg,GER,2,1458.71105957,2026-05-21,2026-08-09
None,Craiova,ROM,1,1458.68518066,2026-07-26,2026-07-29
None,Catanzaro,ITA,2,1458.62243652,2026-05-30,2026-08-30
None,Watford,ENG,2,1458.16186523,2026-05-31,2026-08-16
None,Omonia,CYP,0,1456.90466309,2026-07-23,2026-07-29
None,Pisa,ITA,1,1455.70275879,2026-05-24,2026-08-30
None,Celje,SVN,1,1455.5267334,2026-07-26,2026-07-28
None,Gyoer,HUN,1,1454.81445312,2026-07-15,2026-07-26
None,Ceuta,ESP,2,1454.6652832,2026-05-31,2026-08-30
None,Charlton,ENG,2,1452.98547363,2026-05-31,2026-08-15
None,Stoke,ENG,2,1452.73168945,2026-05-31,2026-08-15
None,LASK,AUT,1,1452.54589844,2026-05-18,2026-07-31
None,Gornik,POL,1,1452.04504395,2026-07-26,2026-07-29
None,Goeztepe,TUR,1,1450.3927002,2026-05-17,2026-08-30
None,Lugano,SUI,1,1450.05969238,2026-07-24,2026-07-26
None,Rubin Kazan,RUS,1,1449.72570801,2026-03-16,2026-08-30
None,Cercle Brugge,BEL,1,1445.62512207,2026-05-10,2026-08-08
None,Hradec Kralove,CZE,1,1445.51147461,2026-07-24,2026-07-26
None,Silkeborg,DEN,1,1445.33203125,2026-05-18,2026-07-27
None,Jablonec,CZE,1,1445.09509277,2026-07-24,2026-07-26
None,Malmoe,SWE,1,1444.68371582,2026-07-21,2026-07-26
None,Levski,BUL,1,1441.24841309,2026-07-26,2026-07-29
None,Red Star,FRA,2,1441.04541016,2026-05-31,2026-08-30
None,Go Ahead Eagles,NED,1,1440.8338623,2026-05-18,2026-08-08
None,Legia,POL,1,1440.72375488,2026-07-25,2026-08-30
None,Mirandes,ESP,2,1440.0802002,2026-06-01,2026-08-30
None,Magdeburg,GER,2,1439.74853516,2026-05-21,2026-08-08
None,Groningen,NED,1,1438.96704102,2026-05-22,2026-08-09
None,M Tel Aviv,ISR,1,1438.46240234,2026-07-24,2026-07-30
None,CFR Cluj,ROM,1,1437.53088379,2026-07-24,2026-07-27
None,Basel,SUI,1,1436.53771973,2026-07-26,2026-08-30
None,Karlsruhe,GER,2,1435.78112793,2026-05-21,2026-08-08
None,Sion,SUI,1,1433.71728516,2026-07-24,2026-07-26
None,Universitatea Cluj,ROM,1,1433.61645508,2026-07-24,2026-07-26
None,Randers,DEN,1,1432.48901367,2026-05-18,2026-07-27
None,Razgrad,BUL,1,1431.40698242,2026-07-24,2026-07-27
None,Slovan Liberec,CZE,1,1431.40246582,2026-07-26,2026-08-30
None,Young Boys,SUI,1,1431.359375,2026-05-18,2026-07-26
None,Odense,DEN,1,1430.63183594,2026-07-25,2026-08-30
None,Zulte Waregem,BEL,1,1430.47900391,2026-05-10,2026-08-09
None,Modena,ITA,2,1429.02416992,2026-05-13,2026-08-30
None,Sociedad B,ESP,2,1428.48071289,2026-05-31,2026-08-30
None,Casa Pia,POR,1,1427.91748047,2026-05-17,2026-08-08
None,IK Sirius,SWE,1,1427.83239746,2026-07-20,2026-07-26
None,Rosenborg,NOR,1,1427.67407227,2026-07-19,2026-07-27
None,Hajduk,CRO,1,1426.87268066,2026-07-24,2026-07-30
None,Steaua,ROM,1,1426.69921875,2026-07-24,2026-07-26
None,Katowice,POL,1,1426.26818848,2026-07-24,2026-07-26
None,Juve Stabia,ITA,2,1425.40319824,2026-05-20,2026-08-30
None,Valladolid,ESP,2,1425.33874512,2026-06-01,2026-08-30
None,Pogon,POL,1,1424.82580566,2026-07-25,2026-08-30
None,Rostov,RUS,1,1424.74609375,2026-03-15,2026-08-30
None,Sandefjord,NOR,1,1423.67431641,2026-07-19,2026-07-26
None,Dunkerque,FRA,2,1423.47241211,2026-05-31,2026-08-30
None,Empoli,ITA,2,1422.83203125,2026-05-09,2026-08-30
None,Leuven,BEL,1,1422.09472656,2026-05-24,2026-08-09
None,Servette,SUI,1,1417.44885254,2026-07-26,2026-08-30
None,Beitar,ISR,1,1414.83398438,2026-07-24,2026-07-30
None,Dresden,GER,2,1414.3605957,2026-05-21,2026-08-09
None,Piast Gliwice,POL,1,1413.75866699,2026-05-24,2026-07-27
None,Fredrikstad,NOR,1,1412.80078125,2026-07-18,2026-07-27
None,Sparta Rotterdam,NED,1,1411.77050781,2026-05-18,2026-08-09
None,Cadiz,ESP,2,1409.9777832,2026-06-01,2026-08-30
None,Terek Grozny,RUS,1,1406.51831055,2026-03-16,2026-08-30
None,Levadeiakos,GRE,1,1405.93127441,2026-05-18,2026-08-22
None,Grenoble,FRA,2,1405.70874023,2026-05-31,2026-08-30
None,Huesca,ESP,2,1405.03833008,2026-06-01,2026-08-30
None,Bielefeld,GER,2,1404.89758301,2026-05-21,2026-08-08
None,Sarpsborg,NOR,1,1403.36462402,2026-07-19,2026-07-26
None,Rizespor,TUR,1,1402.17822266,2026-05-16,2026-08-30
None,Mantova,ITA,2,1399.96447754,2026-05-09,2026-08-30
None,Maritimo,POR,1,1399.50756836,2026-07-03,2026-08-08
None,Austria Wien,AUT,1,1398.9432373,2026-07-24,2026-07-30
None,Hibernian,SCO,1,1398.91040039,2026-07-24,2026-07-30
None,Alanyaspor,TUR,1,1398.89465332,2026-05-17,2026-08-30
None,Konyaspor,TUR,1,1398.39025879,2026-05-18,2026-08-30
None,Lubin,POL,1,1397.54772949,2026-05-24,2026-07-27
None,Luzern,SUI,1,1397.09777832,2026-07-26,2026-08-30
None,Ham-Kam,NOR,1,1395.87011719,2026-07-23,2026-07-26
None,Guingamp,FRA,2,1394.87768555,2026-05-31,2026-08-30
None,Fuerth,GER,2,1394.82678223,2026-05-21,2026-08-09
None,Telstar,NED,1,1394.6973877,2026-05-18,2026-08-08
None,Cracovia,POL,1,1394.18823242,2026-07-26,2026-08-30
None,Sampdoria,ITA,2,1390.78149414,2026-05-09,2026-08-30
None,Clermont,FRA,2,1390.66430664,2026-05-31,2026-08-30
None,Korona,POL,1,1390.38635254,2026-07-26,2026-08-30
None,Motherwell,SCO,1,1389.7043457,2026-07-24,2026-07-30
None,Zwolle,NED,1,1389.37182617,2026-05-18,2026-08-09
None,Elfsborg,SWE,1,1388.13391113,2026-07-20,2026-07-26
None,Rijeka,CRO,1,1387.4979248,2026-07-24,2026-07-30
None,GAIS,SWE,1,1387.08862305,2026-07-24,2026-07-26
None,Carrarese,ITA,2,1385.89758301,2026-05-09,2026-08-30
None,Spezia,ITA,2,1384.77954102,2026-05-09,2026-08-30
None,Zaragoza,ESP,2,1384.69799805,2026-06-01,2026-08-30
None,Laval,FRA,2,1384.28723145,2026-05-31,2026-08-30
None,Haecken,SWE,1,1383.41943359,2026-07-20,2026-07-27
None,Sittard,NED,1,1383.10021973,2026-05-18,2026-08-08
None,Kasimpasa,TUR,1,1383.04516602,2026-05-18,2026-08-30
None,Bastia,FRA,2,1382.39282227,2026-05-31,2026-08-30
None,Avellino,ITA,2,1381.59411621,2026-05-09,2026-08-30
None,Rapid Wien,AUT,1,1381.19372559,2026-07-24,2026-08-02
None,AIK,SWE,1,1381.11547852,2026-07-19,2026-07-27
None,Braunschweig,GER,2,1381.0489502,2026-05-21,2026-08-08
None,Motor Lublin,POL,1,1379.69787598,2026-05-24,2026-07-26
None,Valerenga,NOR,1,1377.26916504,2026-07-17,2026-07-26
None,Excelsior,NED,1,1377.12609863,2026-05-18,2026-08-07
None,Plock,POL,1,1375.22253418,2026-05-24,2026-07-26
None,Lausanne,SUI,1,1374.96118164,2026-07-26,2026-08-30
None,Pau,FRA,2,1374.34631348,2026-05-31,2026-08-30
None,Suedtirol,ITA,2,1372.29516602,2026-05-23,2026-08-30
None,Sigma Olomouc,CZE,1,1371.94604492,2026-05-24,2026-07-26
None,Widzew,POL,1,1371.26391602,2026-05-24,2026-07-26
None,Hartberg,AUT,1,1370.59326172,2026-05-18,2026-08-01
None,Eyupspor,TUR,1,1370.07287598,2026-05-18,2026-08-30
None,Goeteborg,SWE,1,1368.79516602,2026-07-22,2026-07-26
None,Rapid Bucuresti,ROM,1,1368.52380371,2026-07-21,2026-07-27
None,Dinamo Bucuresti,ROM,1,1368.21960449,2026-07-26,2026-07-31
None,Leonesa,ESP,2,1367.80834961,2026-05-31,2026-08-30
None,Paksi,HUN,1,1367.53356934,2026-07-24,2026-07-26
None,Slovan Bratislava,SLK,0,1366.51843262,2026-07-22,2026-07-29
None,Bari,ITA,2,1366.16149902,2026-05-23,2026-08-30
None,Kryliya Sovetov,RUS,1,1366.14489746,2026-03-16,2026-08-30
None,Cesena,ITA,2,1365.5480957,2026-05-09,2026-08-30
None,Padova,ITA,2,1365.3984375,2026-05-09,2026-08-30
None,Koper,SVN,1,1364.5402832,2026-07-24,2026-07-26
None,Puskas Akademia,HUN,1,1363.62231445,2026-05-16,2026-07-26
None,KFUM Oslo,NOR,1,1363.44885254,2026-07-19,2026-07-26
None,Lillestrom,NOR,1,1363.40356445,2026-07-23,2026-08-30
None,Akron Togliatti,RUS,1,1360.69018555,2026-03-16,2026-08-30
None,Nancy,FRA,2,1359.40515137,2026-05-31,2026-08-30
None,Entella,ITA,2,1358.08483887,2026-05-09,2026-08-30
None,Varazdin,CRO,1,1357.82275391,2026-07-24,2026-07-30
None,Boulogne,FRA,2,1357.81323242,2026-05-31,2026-08-30
None,CSKA Sofia,BUL,1,1355.23095703,2026-07-24,2026-07-27
None,Gaziantep FK,TUR,1,1354.34472656,2026-05-17,2026-08-30
None,Debrecen,HUN,1,1353.97338867,2026-07-24,2026-07-26
None,Lok Zagreb,CRO,1,1353.19470215,2026-05-24,2026-08-30
None,Kristiansund,NOR,1,1353.01513672,2026-07-26,2026-08-30
None,Pescara,ITA,2,1351.91564941,2026-05-09,2026-08-30
None,FK Astana,KAZ,0,1351.59240723,2026-07-17,2026-08-30
None,Kortrijk,BEL,1,1350.14294434,2026-07-03,2026-08-07
None,Lommel,BEL,1,1350.14294434,2026-07-03,2026-08-08
None,Beveren,BEL,1,1350.14294434,2026-07-03,2026-08-09
None,Genclerbirligi,TUR,1,1349.63000488,2026-05-18,2026-08-30
None,Maccabi Haifa,ISR,1,1347.22473145,2026-05-24,2026-08-30
None,Lyngby,DEN,1,1347.06616211,2026-07-03,2026-07-26
None,Horsens,DEN,1,1347.06616211,2026-07-03,2026-07-26
None,Pardubice,CZE,1,1346.96411133,2026-05-11,2026-07-26
None,Banik Ostrava,CZE,1,1346.5625,2026-07-26,2026-08-30
None,Bohemians Praha,CZE,1,1344.51184082,2026-07-26,2026-07-30
None,Orenburg,RUS,1,1343.03881836,2026-03-14,2026-08-30
None,Kocaelispor,TUR,1,1342.98779297,2026-05-18,2026-08-30
None,Cottbus,GER,2,1342.63476562,2026-07-03,2026-08-09
None,Osnabrueck,GER,2,1342.63476562,2026-07-03,2026-08-08
None,Partizan,SRB,1,1342.41906738,2026-07-24,2026-07-26
None,Dunajska,SLK,0,1342.41223145,2026-07-24,2026-07-30
None,Dynamo Makhachkala,RUS,1,1339.20922852,2026-03-14,2026-08-30
None,Slask,POL,1,1338.51916504,2026-07-26,2026-08-30
None,Wisla,POL,1,1338.51916504,2026-07-03,2026-07-26
None,Nizhny Novgorod,RUS,1,1337.8013916,2026-03-16,2026-08-30
None,Sheriff Tiraspol,MOL,0,1337.35595703,2026-07-24,2026-07-30
None,Zalaegerszegi,HUN,1,1335.4765625,2026-05-17,2026-07-27
None,Maribor,SVN,1,1334.22265625,2026-07-20,2026-08-30
None,Reggiana,ITA,2,1334.04577637,2026-05-09,2026-08-30
None,Trnava,SLK,0,1333.72814941,2026-07-23,2026-07-28
None,Kayseri,TUR,1,1333.65478516,2026-05-18,2026-08-30
None,Wolfsberg,AUT,1,1333.6505127,2026-05-20,2026-08-02
None,Zilina,SLK,0,1333.45056152,2026-07-24,2026-07-30
None,H Tel Aviv,ISR,1,1333.1138916,2026-07-24,2026-07-30
None,Osijek,CRO,1,1330.08520508,2026-05-23,2026-08-30
None,Antalyaspor,TUR,1,1328.7175293,2026-05-18,2026-08-30
None,Teplice,CZE,1,1328.13928223,2026-07-26,2026-08-30
None,Fatih Karaguemruek,TUR,1,1325.40698242,2026-05-17,2026-08-30
None,Zira,AZE,0,1319.08618164,2026-07-24,2026-07-30
None,Karpaty,UKR,1,1317.87121582,2026-07-03,2026-08-01
None,Kryvbas,UKR,1,1317.87121582,2026-07-03,2026-08-01
None,Polissya Zhytomyr,UKR,1,1317.87121582,2026-07-24,2026-08-02
None,Obolon Kyiv,UKR,1,1317.87121582,2026-07-03,2026-08-02
None,Episentr,UKR,1,1317.87121582,2026-07-03,2026-08-02
None,Chernomorets,UKR,1,1317.87121582,2026-07-03,2026-08-02
None,Olimpija Ljubljana,SVN,1,1317.77832031,2026-07-26,2026-08-30
